		A2058_1	A2058_2	A2058_3	Skmel_1	Skmel_2	A431_1	A431_2	A431_3	SCC9_1	SCC9_2	HEK_2	HEK_3	HaCaT_1	HaCaT_2	HaCaT_3
		melanoma	melanoma	melanoma	melanoma	melanoma	carcinoma	carcinoma	carcinoma	carcinoma	carcinoma	normal	normal	normal	normal	normal
ENPP2	IPI00878576_ENPP2	0.00	0.00	0.00	34.01	28.99	0.00	0.00	0.00	0.00	0.00	3.09	12.25	0.00	0.00	0.00
RCC2	IPI00465044_RCC2	0.00	0.00	0.00	0.00	0.00	3.30	5.02	6.52	2.63	2.75	0.00	6.12	3.15	9.78	6.53
PSME2	IPI00943181_PSME2	5.62	3.42	0.00	0.00	0.00	0.00	2.01	0.00	14.49	15.10	0.00	0.00	14.70	10.39	4.90
PSMA5	IPI00291922_PSMA5	3.37	0.00	2.67	0.00	2.32	8.25	3.01	8.39	2.63	3.43	3.09	3.06	7.35	9.17	6.53
PAICS	IPI00217223_PAICS	10.11	6.84	9.77	4.44	3.48	3.30	0.00	0.00	2.63	4.81	21.64	6.12	5.25	9.78	8.70
EXOC5	IPI00719051_EXOC5	0.00	0.00	0.00	11.83	0.00	13.21	0.00	0.00	15.81	0.00	6.18	0.00	0.00	0.00	0.00
PTPRK	IPI00470937_PTPRK	0.00	0.00	3.55	4.44	0.00	0.00	2.01	5.59	2.63	0.00	10.82	18.37	10.50	4.28	3.81
GSTO1	IPI00019755_GSTO1	3.37	0.00	2.67	0.00	4.64	8.25	6.03	6.52	5.27	3.43	3.09	4.59	3.15	3.06	0.00
B4GALT1	IPI00215767_B4GALT1	0.00	0.00	3.55	0.00	0.00	0.00	16.08	13.05	9.22	8.92	7.73	0.00	3.15	3.06	4.90
GPNMB	IPI00001592_GPNMB	10.11	10.25	8.00	22.18	13.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.60	5.50	7.07
UGGT1	IPI00024466_UGGT1	2.25	0.00	2.67	17.75	26.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CALU	IPI00789155_CALU	5.62	6.84	9.77	5.92	37.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
VTN	IPI00298971_VTN	0.00	3.42	6.22	4.44	4.64	14.86	6.03	6.52	9.22	6.18	3.09	7.65	3.15	3.67	2.18
KHSRP	IPI00479786_KHSRP	0.00	0.00	0.00	0.00	0.00	3.30	3.01	2.80	7.90	2.75	23.19	15.31	4.20	9.78	7.07
CTNNA1	IPI00215948_CTNNA1	0.00	0.00	0.00	0.00	0.00	3.30	0.00	2.80	10.54	9.61	0.00	0.00	4.20	11.01	13.60
LUM	IPI00020986_LUM	16.85	27.34	25.76	14.79	10.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
COL11A1	IPI00218540_COL11A1	0.00	0.00	0.00	31.06	28.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LSR	IPI00409640_LSR	0.00	0.00	0.00	0.00	0.00	14.86	14.07	19.57	7.90	6.18	4.64	0.00	8.40	5.50	4.35
PARP1	IPI00449049_PARP1	3.37	5.13	2.67	0.00	0.00	0.00	0.00	0.00	0.00	2.75	9.28	15.31	0.00	11.62	6.53
AFP	IPI00022443_AFP	3.37	2.56	8.88	2.96	0.00	6.60	0.00	0.00	3.95	0.00	15.46	18.37	12.60	0.00	0.00
PPP1CB	IPI00218236_PPP1CB	3.37	3.42	3.55	0.00	0.00	6.60	2.01	4.66	0.00	6.18	0.00	4.59	4.20	11.62	9.79
HNRNPL	IPI00027834_HNRNPL	3.37	0.00	0.00	0.00	0.00	3.30	2.01	0.00	2.63	6.87	12.37	6.12	2.10	4.89	4.90
KTN1	IPI00328753_KTN1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.44	17.85	0.00	0.00	0.00	6.11	5.98
C1S	IPI00749179_C1S	0.00	0.00	0.00	0.00	0.00	9.90	41.19	12.12	5.27	8.92	0.00	0.00	0.00	0.00	0.00
KRT2	IPI00021304_KRT2	4.49	16.24	11.55	7.39	6.96	0.00	3.01	12.12	0.00	3.43	12.37	32.14	6.30	12.23	7.07
PAM	IPI00177543_PAM	2.25	5.98	2.67	7.39	5.80	3.30	10.01	5.59	2.63	0.00	13.91	10.71	0.00	0.00	0.00
CAPZB	IPI00642256_CAPZB	6.74	5.98	6.22	2.96	9.28	9.90	6.03	4.66	3.95	5.49	7.73	0.00	4.20	6.11	5.44
PDCD6IP	IPI00938079_PDCD6IP	15.73	3.42	4.44	0.00	0.00	0.00	0.00	0.00	5.27	11.67	4.64	0.00	6.30	4.89	5.98
HSPB1	IPI00025512_HSPB1	0.00	5.13	0.00	0.00	4.64	6.60	9.04	5.59	6.59	5.49	0.00	0.00	11.55	10.39	11.42
CLIC4	IPI00001960_CLIC4	12.36	8.54	13.33	0.00	2.32	3.30	0.00	6.52	5.27	8.92	4.64	0.00	0.00	4.89	5.44
RPL5	IPI00000494_RPL5	6.74	5.98	2.67	0.00	0.00	4.95	0.00	0.00	7.90	8.24	0.00	6.12	6.30	9.78	7.07
CSE1L	IPI00022744_CSE1L	0.00	0.00	0.00	0.00	0.00	3.30	0.00	5.59	0.00	12.36	9.28	7.65	0.00	15.29	14.15
LTBP1	IPI00784258_LTBP1	0.00	5.13	3.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	38.65	38.27	0.00	0.00	0.00
FAM129B	IPI00456750_FAM129B	4.49	3.42	3.55	0.00	0.00	0.00	2.01	0.00	2.63	8.24	0.00	0.00	6.30	11.62	12.51
PLAU	IPI00296180_PLAU	0.00	0.00	0.00	0.00	0.00	0.00	11.05	13.05	5.27	4.81	0.00	0.00	18.90	7.95	10.34
ERP44	IPI00401264_ERP44	4.49	0.00	6.22	7.39	10.44	0.00	4.02	0.00	0.00	2.06	6.18	0.00	2.10	5.50	2.18
RAN	IPI00795671_RAN	2.25	4.27	3.55	0.00	3.48	4.95	3.01	2.80	7.90	6.18	9.28	10.71	6.30	6.11	4.35
DNAJB11	IPI00008454_DNAJB11	3.37	2.56	2.67	11.83	12.76	14.86	11.05	7.46	0.00	2.06	7.73	10.71	0.00	0.00	0.00
CCT4	IPI00302927_CCT4	3.37	6.84	3.55	0.00	0.00	4.95	3.01	2.80	0.00	4.12	24.74	10.71	4.20	6.11	4.35
OLA1	IPI00290416_OLA1	0.00	4.27	3.55	0.00	0.00	0.00	4.02	6.52	9.22	6.87	0.00	0.00	4.20	7.95	7.62
GDI1	IPI00010154_GDI1	10.11	9.40	13.33	7.39	13.92	16.51	16.08	25.16	15.81	21.28	21.64	18.37	17.85	17.73	16.87
HIST1H2BC	IPI00020101_HIST1H2BC	6.74	3.42	2.67	0.00	0.00	13.21	3.01	4.66	2.63	4.81	10.82	10.71	6.30	4.28	4.90
HSPE1	IPI00220362_HSPE1	5.62	0.00	2.67	0.00	3.48	0.00	2.01	6.52	14.49	8.92	6.18	4.59	3.15	0.00	0.00
CAPZA1	IPI00005969_CAPZA1	5.62	6.84	5.33	2.96	0.00	6.60	4.02	2.80	13.17	8.24	0.00	3.06	3.15	5.50	5.98
CDV3	IPI00014197_CDV3	0.00	2.56	3.55	0.00	0.00	6.60	7.03	3.73	6.59	5.49	3.09	3.06	4.20	6.11	3.81
MET	IPI00029273_MET	0.00	11.96	12.44	0.00	0.00	6.60	10.01	9.32	0.00	0.00	0.00	0.00	3.15	4.89	5.98
RPS12	IPI00013917_RPS12	7.86	3.42	6.22	0.00	0.00	9.90	0.00	0.00	5.27	4.81	10.82	7.65	3.15	4.28	3.81
ATP6AP1	IPI00784119_ATP6AP1	10.11	9.40	7.11	0.00	2.32	0.00	4.02	4.66	0.00	0.00	9.28	10.71	2.10	0.00	3.81
LTA4H	IPI00219077_LTA4H	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	12.37	6.12	8.40	9.78	10.88
PSAP	IPI00744835_PSAP	41.57	54.69	34.65	112.40	117.13	26.41	66.31	24.23	43.47	55.61	52.56	36.74	67.21	51.36	42.44
CYR61	IPI00299219_CYR61	7.86	7.69	8.00	5.92	9.28	18.16	8.04	15.84	0.00	0.00	4.64	6.12	0.00	0.00	0.00
CACYBP	IPI00395627_CACYBP	10.11	9.40	9.77	0.00	0.00	0.00	0.00	3.73	3.95	4.12	0.00	7.65	0.00	6.73	6.53
NSFL1C	IPI00100197_NSFL1C	0.00	0.00	4.44	0.00	0.00	0.00	0.00	6.52	14.49	6.87	0.00	0.00	10.50	14.06	14.15
PSMB1	IPI00025019_PSMB1	11.24	0.00	6.22	0.00	2.32	6.60	7.03	11.18	10.54	4.12	7.73	3.06	5.25	8.56	4.90
HSP90AB2P	IPI00455599_HSP90AB2P	16.85	13.67	6.22	5.92	13.92	24.76	11.05	13.98	6.59	8.24	6.18	19.90	7.35	8.56	7.62
GART	IPI00025273_GART	0.00	7.69	3.55	0.00	0.00	0.00	2.01	2.80	0.00	7.55	20.10	10.71	3.15	2.45	2.18
PABPC1	IPI00008524_PABPC1	6.74	4.27	4.44	0.00	0.00	3.30	0.00	2.80	3.95	5.49	9.28	15.31	4.20	12.23	8.70
NQO1	IPI00012069_NQO1	7.86	5.98	2.67	0.00	4.64	0.00	2.01	2.80	6.59	8.92	0.00	0.00	4.20	4.28	3.26
GSS	IPI00010706_GSS	2.25	2.56	0.00	0.00	4.64	3.30	8.04	7.46	0.00	3.43	0.00	0.00	8.40	5.50	4.35
BTD	IPI00218413_BTD	12.36	20.51	16.88	0.00	0.00	0.00	14.07	9.32	0.00	2.06	6.18	7.65	0.00	0.00	0.00
SERPINF1	IPI00006114_SERPINF1	5.62	14.53	9.77	5.92	10.44	3.30	0.00	0.00	0.00	0.00	27.83	21.43	0.00	0.00	0.00
BCAM	IPI00002406_BCAM	0.00	0.00	0.00	0.00	0.00	0.00	15.07	7.46	0.00	4.81	0.00	0.00	12.60	0.00	3.26
STC2	IPI00008780_STC2	0.00	0.00	0.00	2.96	0.00	11.55	4.02	10.25	0.00	0.00	26.28	18.37	0.00	0.00	0.00
NID2	IPI00028908_NID2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.10	24.49	0.00	0.00	0.00
TPM4	IPI00010779_TPM4	12.36	9.40	8.00	7.39	11.60	11.55	11.05	13.05	26.35	13.04	0.00	3.06	12.60	9.17	7.62
CAND1	IPI00100160_CAND1	3.37	0.00	0.00	0.00	0.00	3.30	0.00	2.80	0.00	11.67	0.00	4.59	0.00	7.95	8.70
PSMA6	IPI00029623_PSMA6	5.62	2.56	2.67	0.00	3.48	3.30	2.01	3.73	3.95	2.06	3.09	6.12	7.35	9.17	4.90
CBR1	IPI00295386_CBR1	5.62	8.54	0.00	0.00	0.00	0.00	5.02	3.73	0.00	5.49	7.73	6.12	7.35	9.17	4.90
CDC37	IPI00013122_CDC37	3.37	2.56	0.00	4.44	3.48	6.60	4.02	5.59	7.90	6.18	3.09	6.12	3.15	9.78	5.44
G3BP1	IPI00012442_G3BP1	7.86	11.11	2.67	0.00	0.00	8.25	2.01	0.00	0.00	5.49	0.00	0.00	4.20	7.95	7.62
MAP4	IPI00880007_MAP4	6.74	0.00	0.00	0.00	0.00	6.60	0.00	0.00	9.22	5.49	0.00	0.00	2.10	0.00	0.00
CCT6A	IPI00027626_CCT6A	5.62	0.00	2.67	0.00	0.00	4.95	3.01	0.00	0.00	6.18	15.46	3.06	3.15	6.73	7.62
NACA	IPI00797126_NACA	6.74	4.27	0.00	0.00	4.64	6.60	7.03	7.46	9.22	3.43	7.73	9.18	8.40	6.11	4.90
PTGFRN	IPI00022048_PTGFRN	4.49	4.27	0.00	4.44	9.28	0.00	0.00	0.00	2.63	0.00	0.00	0.00	0.00	0.00	0.00
WFDC2	IPI00291488_WFDC2	0.00	0.00	0.00	0.00	0.00	14.86	29.14	22.37	0.00	2.06	6.18	6.12	4.20	0.00	4.35
PROS1	IPI00294004_PROS1	3.37	10.25	8.00	8.87	6.96	0.00	0.00	0.00	0.00	0.00	6.18	9.18	0.00	0.00	0.00
NARS	IPI00306960_NARS	3.37	2.56	2.67	0.00	0.00	0.00	0.00	0.00	2.63	4.12	0.00	0.00	6.30	7.34	9.25
PCMT1	IPI00411680_PCMT1	3.37	0.00	0.00	0.00	0.00	4.95	0.00	0.00	0.00	3.43	10.82	10.71	2.10	0.00	2.18
HIST2H2AA3	IPI00216457_HIST2H2AA3	11.24	5.13	5.33	0.00	3.48	13.21	4.02	4.66	5.27	3.43	12.37	13.78	5.25	3.67	2.72
CNBP	IPI00430812_CNBP	2.25	2.56	0.00	4.44	0.00	0.00	3.01	0.00	5.27	5.49	6.18	7.65	4.20	4.28	4.90
HMGB2	IPI00219097_HMGB2	2.25	0.00	0.00	0.00	2.32	11.55	11.05	7.46	13.17	8.24	0.00	10.71	0.00	6.11	4.90
MAN2B1	IPI00012989_MAN2B1	0.00	0.00	0.00	2.96	8.12	0.00	4.02	0.00	0.00	0.00	6.18	0.00	7.35	6.11	8.16
PTK7	IPI00478565_PTK7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	6.12	6.30	7.34	5.44
PSMB6	IPI00000811_PSMB6	5.62	5.13	5.33	0.00	0.00	8.25	0.00	2.80	0.00	0.00	6.18	3.06	11.55	5.50	5.44
EPRS	IPI00013452_EPRS	4.49	0.00	2.67	0.00	0.00	0.00	0.00	0.00	0.00	2.75	3.09	0.00	0.00	9.78	10.88
SF3B3	IPI00300371_SF3B3	2.25	3.42	3.55	0.00	0.00	0.00	3.01	5.59	0.00	5.49	7.73	15.31	0.00	11.01	6.53
EXT2	IPI00942173_EXT2	0.00	3.42	5.33	0.00	2.32	0.00	9.04	12.12	0.00	0.00	3.09	3.06	0.00	3.06	3.81
NOTCH2	IPI00297655_NOTCH2	0.00	0.00	0.00	10.35	13.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
IGSF8	IPI00056478_IGSF8	4.49	5.13	7.11	19.23	12.76	0.00	2.01	0.00	0.00	0.00	3.09	3.06	0.00	0.00	0.00
GLA	IPI00025869_GLA	0.00	2.56	3.55	4.44	0.00	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	3.67	5.44
FH	IPI00296053_FH	0.00	0.00	3.55	0.00	0.00	0.00	0.00	5.59	0.00	3.43	6.18	9.18	6.30	7.34	5.98
KARS	IPI00014238_KARS	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	3.43	3.09	3.06	6.30	5.50	3.26
DHX9	IPI00844578_DHX9	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.55	9.28	18.37	0.00	9.17	6.53
SERPINB1	IPI00027444_SERPINB1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.95	15.10	0.00	0.00	2.10	9.78	8.70
RPLP1	IPI00008527_RPLP1	7.86	7.69	6.22	4.44	4.64	8.25	10.01	7.46	6.59	6.18	0.00	9.18	8.40	5.50	5.98
PFAS	IPI00004534_PFAS	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.95	4.81	9.28	7.65	3.15	3.06	3.81
GLG1	IPI00414717_GLG1	0.00	0.00	0.00	0.00	0.00	3.30	2.01	5.59	2.63	0.00	12.37	10.71	4.20	0.00	0.00
STMN1	IPI00479997_STMN1	5.62	3.42	0.00	0.00	0.00	6.60	2.01	3.73	9.22	3.43	9.28	4.59	6.30	0.00	2.72
GGCT	IPI00031564_GGCT	0.00	0.00	0.00	0.00	0.00	0.00	6.03	7.46	6.59	7.55	0.00	3.06	10.50	9.17	4.90
OTUB1	IPI00939174_OTUB1	0.00	3.42	5.33	4.44	0.00	0.00	2.01	3.73	0.00	3.43	6.18	9.18	0.00	9.17	7.07
TUBB2C	IPI00007752_TUBB2C	22.47	22.22	13.33	0.00	15.08	61.08	16.08	27.03	48.74	31.58	58.75	50.51	24.16	26.90	22.85
ME1	IPI00008215_ME1	0.00	2.56	9.77	0.00	3.48	0.00	4.02	6.52	0.00	4.81	0.00	4.59	0.00	4.89	4.90
PRCP	IPI00001593_PRCP	0.00	0.00	0.00	5.92	3.48	0.00	3.01	3.73	2.63	3.43	6.18	13.78	0.00	0.00	3.81
ACTR3	IPI00028091_ACTR3	3.37	5.13	3.55	0.00	0.00	0.00	2.01	0.00	5.27	10.98	4.64	4.59	3.15	8.56	5.98
PRDX5	IPI00024915_PRDX5	3.37	0.00	0.00	0.00	0.00	4.95	3.01	0.00	2.63	8.92	0.00	0.00	5.25	9.17	7.62
MOXD1	IPI00419596_MOXD1	12.36	20.51	23.10	0.00	3.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AHSG	IPI00022431_AHSG	6.74	4.27	3.55	7.39	5.80	11.55	5.02	3.73	9.22	4.12	10.82	10.71	5.25	2.45	2.18
BSG	IPI00218019_BSG	5.62	4.27	5.33	7.39	10.44	13.21	11.05	3.73	5.27	2.06	3.09	4.59	4.20	0.00	0.00
MTAP	IPI00011876_MTAP	5.62	4.27	4.44	0.00	0.00	6.60	6.03	10.25	9.22	2.75	0.00	4.59	4.20	3.06	2.72
DNPEP	IPI00015856_DNPEP	3.37	0.00	0.00	10.35	0.00	4.95	0.00	0.00	9.22	2.06	9.28	18.37	0.00	4.28	2.18
RBBP4	IPI00328319_RBBP4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.59	0.00	6.18	3.06	0.00	3.06	3.26
CKMT1A	IPI00658109_CKMT1A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	5.25	17.12	16.87
IFI30	IPI00007853_IFI30	0.00	3.42	0.00	2.96	5.80	3.30	7.03	7.46	0.00	0.00	3.09	0.00	2.10	4.28	5.44
LRP8	IPI00384247_LRP8	2.25	2.56	2.67	7.39	3.48	0.00	3.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MANF	IPI00328748_MANF	3.37	0.00	3.55	29.58	31.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EIF3B	IPI00719752_EIF3B	0.00	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	3.06	0.00	11.01	6.53
ST13	IPI00032826_ST13	6.74	3.42	0.00	2.96	3.48	9.90	4.02	0.00	3.95	2.75	0.00	4.59	5.25	0.00	2.72
DKK3	IPI00002714_DKK3	2.25	2.56	3.55	0.00	0.00	0.00	6.03	3.73	0.00	0.00	0.00	0.00	11.55	6.73	6.53
CRIM1	IPI00009294_CRIM1	0.00	3.42	7.11	0.00	4.64	0.00	2.01	2.80	0.00	0.00	0.00	0.00	11.55	7.95	9.25
JUP	IPI00554711_JUP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	8.92	0.00	0.00	8.40	11.62	13.06
NRCAM	IPI01014858_NRCAM	7.86	13.67	21.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.28	6.12	0.00	0.00	0.00
HPRT1	IPI00218493_HPRT1	3.37	2.56	4.44	0.00	0.00	0.00	0.00	3.73	6.59	6.87	18.55	6.12	8.40	6.73	5.44
KRT8	IPI00554648_KRT8	2.25	0.00	2.67	0.00	0.00	8.25	6.03	13.05	9.22	3.43	0.00	0.00	0.00	0.00	0.00
TXNDC17	IPI00646689_TXNDC17	4.49	0.00	2.67	2.96	0.00	3.30	2.01	0.00	6.59	4.12	3.09	0.00	13.65	0.00	0.00
SSB	IPI00009032_SSB	4.49	2.56	0.00	0.00	0.00	6.60	0.00	0.00	2.63	6.18	3.09	4.59	3.15	8.56	7.62
PVRL1	IPI00218887_PVRL1	0.00	0.00	0.00	0.00	0.00	0.00	16.08	8.39	0.00	2.06	0.00	0.00	9.45	7.34	9.79
CNDP2	IPI00177728_CNDP2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	11.67	0.00	0.00	5.25	9.78	11.97
PSMB3	IPI00028004_PSMB3	0.00	3.42	0.00	0.00	3.48	4.95	0.00	4.66	3.95	4.12	0.00	0.00	6.30	6.11	5.98
CAPRIN1	IPI00783872_CAPRIN1	7.86	5.98	0.00	0.00	0.00	3.30	3.01	5.59	3.95	4.12	0.00	4.59	5.25	8.56	7.07
TRIM28	IPI00438229_TRIM28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.95	10.30	10.82	3.06	2.10	3.67	4.35
JAG1	IPI00099650_JAG1	0.00	0.00	4.44	11.83	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.40	5.50	7.62
C19ORF10	IPI00056357_C19ORF10	3.37	2.56	2.67	13.31	11.60	3.30	2.01	2.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EIF4B	IPI00012079_EIF4B	0.00	2.56	3.55	0.00	0.00	4.95	3.01	0.00	5.27	4.12	7.73	12.25	9.45	3.67	5.44
HNRNPAB	IPI00334713_HNRNPAB	0.00	2.56	2.67	0.00	2.32	9.90	2.01	3.73	9.22	2.75	7.73	7.65	2.10	2.45	3.26
CCDC80	IPI00260630_CCDC80	0.00	0.00	0.00	0.00	0.00	0.00	4.02	4.66	0.00	0.00	0.00	0.00	23.11	9.17	10.34
KDELC2	IPI00143921_KDELC2	0.00	0.00	0.00	0.00	6.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
RPS3	IPI00011253_RPS3	3.37	5.13	4.44	0.00	0.00	0.00	4.02	3.73	0.00	0.00	0.00	3.06	2.10	9.17	5.44
FDPS	IPI00914566_FDPS	0.00	2.56	6.22	0.00	0.00	0.00	2.01	2.80	0.00	2.75	4.64	3.06	0.00	7.34	5.44
ACAT2	IPI01014863_ACAT2	2.25	5.13	3.55	0.00	0.00	0.00	0.00	0.00	0.00	6.18	9.28	4.59	5.25	5.50	4.35
SPOCK1	IPI00005292_SPOCK1	0.00	0.00	0.00	32.54	13.92	0.00	0.00	4.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NUCB2	IPI00009123_NUCB2	2.25	0.00	4.44	0.00	0.00	0.00	0.00	0.00	2.63	5.49	9.28	9.18	2.10	0.00	0.00
PSME1	IPI00479722_PSME1	2.25	3.42	0.00	0.00	0.00	0.00	0.00	0.00	2.63	7.55	0.00	0.00	3.15	7.95	6.53
NEO1	IPI00023814_NEO1	7.86	12.82	13.33	0.00	0.00	13.21	10.01	2.80	0.00	0.00	3.09	7.65	0.00	0.00	0.00
COL18A1	IPI01014165_COL18A1	12.36	10.25	11.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.64	3.06	2.10	3.67	4.35
RNPEP	IPI00642211_RNPEP	0.00	0.00	2.67	0.00	0.00	0.00	0.00	0.00	0.00	4.81	7.73	0.00	3.15	9.17	9.79
GSR	IPI00016862_GSR	4.49	3.42	4.44	0.00	2.32	0.00	2.01	4.66	0.00	2.75	3.09	0.00	5.25	6.11	4.90
FAM49B	IPI00303318_FAM49B	4.49	0.00	2.67	0.00	0.00	14.86	6.03	4.66	0.00	8.24	3.09	0.00	2.10	3.67	3.81
RPL12	IPI00024933_RPL12	8.99	3.42	3.55	0.00	0.00	0.00	3.01	3.73	2.63	6.87	0.00	0.00	5.25	9.78	7.62
COL2A1	IPI00936892_COL2A1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.37	19.90	0.00	0.00	0.00
SERPINB13	IPI00006560_SERPINB13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.75	14.67	15.23
CMPK1	IPI00219953_CMPK1	4.49	2.56	4.44	0.00	0.00	0.00	0.00	9.32	9.22	6.87	6.18	0.00	5.25	3.06	3.81
CFH	IPI00029739_CFH	7.86	0.00	2.67	0.00	0.00	0.00	0.00	0.00	0.00	7.55	0.00	0.00	4.20	3.06	5.98
VCAN	IPI00009802_VCAN	2.25	0.00	0.00	13.31	5.80	0.00	0.00	0.00	0.00	0.00	4.64	7.65	0.00	0.00	0.00
FABP5	IPI00007797_FABP5	0.00	5.98	0.00	0.00	6.96	0.00	0.00	0.00	10.54	4.12	0.00	0.00	0.00	0.00	0.00
SMOC1	IPI00301812_SMOC1	3.37	0.00	3.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.74	26.02	0.00	0.00	0.00
CLEC11A	IPI00033466_CLEC11A	4.49	5.98	2.67	8.87	8.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
RAD23B	IPI00008223_RAD23B	5.62	0.00	4.44	0.00	2.32	4.95	0.00	2.80	2.63	2.75	0.00	4.59	8.40	4.89	4.90
PSMB5	IPI00479306_PSMB5	2.25	4.27	7.11	0.00	3.48	0.00	2.01	6.52	0.00	0.00	3.09	6.12	9.45	7.34	6.53
CTSL1	IPI00012887_CTSL1	2.25	4.27	0.00	14.79	8.12	0.00	3.01	0.00	0.00	0.00	4.64	0.00	6.30	4.89	3.26
ESD	IPI00411706_ESD	2.25	0.00	4.44	0.00	0.00	3.30	0.00	2.80	2.63	4.12	0.00	4.59	3.15	7.95	8.16
SLIT2	IPI00335003_SLIT2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.46	7.65	0.00	0.00	0.00
PNP	IPI00017672_PNP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	0.00	6.18	6.12	3.15	9.17	10.34
ALDH1A3	IPI00026663_ALDH1A3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.20	12.84	15.78
KLK5	IPI00032464_KLK5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.90	6.18	0.00	0.00	12.60	4.89	4.35
HNRNPA3	IPI00419373_HNRNPA3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	4.12	7.73	7.65	2.10	2.45	4.35
CD81	IPI00000190_CD81	8.99	7.69	12.44	4.44	8.12	0.00	4.02	2.80	0.00	2.06	6.18	6.12	3.15	2.45	0.00
C1QBP	IPI00014230_C1QBP	4.49	0.00	3.55	0.00	4.64	3.30	5.02	7.46	7.90	4.81	4.64	6.12	4.20	0.00	4.35
COL12A1	IPI00302944_COL12A1	0.00	0.00	0.00	0.00	0.00	0.00	16.08	0.00	0.00	0.00	0.00	0.00	7.35	6.73	10.88
CTTN	IPI00029601_CTTN	0.00	0.00	0.00	0.00	0.00	0.00	4.02	10.25	2.63	2.75	0.00	0.00	4.20	11.01	10.34
IGFBP3	IPI00925358_IGFBP3	0.00	0.00	0.00	0.00	0.00	0.00	6.03	0.00	0.00	4.12	0.00	0.00	6.30	7.95	7.07
ITGB1	IPI00217563_ITGB1	0.00	5.13	6.22	0.00	5.80	3.30	14.07	4.66	0.00	2.06	0.00	0.00	4.20	3.06	0.00
RBBP7	IPI00646512_RBBP7	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	3.95	0.00	0.00	0.00	0.00	3.67	2.18
HSPA9	IPI00007765_HSPA9	0.00	2.56	2.67	0.00	0.00	6.60	0.00	3.73	6.59	6.87	15.46	6.12	0.00	0.00	2.18
PUF60	IPI00069750_PUF60	3.37	0.00	6.22	0.00	0.00	8.25	0.00	2.80	5.27	6.87	6.18	4.59	2.10	5.50	4.90
EIF2S3	IPI00297982_EIF2S3	8.99	3.42	3.55	0.00	0.00	4.95	0.00	0.00	3.95	9.61	0.00	4.59	2.10	4.28	4.35
IGFBP4	IPI00305380_IGFBP4	5.62	7.69	4.44	0.00	0.00	0.00	0.00	0.00	3.95	4.81	4.64	4.59	3.15	0.00	0.00
