"","id","name","100fmol -score","12.5fmol-score","25fmol-score","50fmol -score"
"266","A0A087WW89","A0A087WW89","-0.061","0","0.0328","0.0111"
"267","P04075_2_ALDOA","P04075_2_ALDOA","0.0072","0.001","0.0244","-0.0604"
"268","P01717","P01717","-7e-04","-0.0602","0.0434","0.0134"
"269","P06753_2_TPM3","P06753_2_TPM3","0.0593","-0.0056","-0.0099","-0.027"
"270","Q01518_CAP1","Q01518_CAP1","0.0188","-0.0053","0.0388","-0.0591"
"271","P06733_ENO1","P06733_ENO1","-0.0172","0.0405","0.0347","-0.0589"
"272","P11142_HSPA8","P11142_HSPA8","0.0078","-0.058","0.0348","0"
"273","P15153_RAC2","P15153_RAC2","0","-0.039","0.0577","-0.0224"
"274","Q01469_FABP5","Q01469_FABP5","-0.0301","0.0573","0","-0.0204"
"275","Q08380_LGALS3BP","Q08380_LGALS3BP","-0.0148","0.0568","-0.0124","-0.0024"
"276","E7EX29_YWHAZ","E7EX29_YWHAZ","0","0.0561","-0.0161","-0.0191"
"277","P06314_IGKV4_1","P06314_IGKV4_1","-0.0525","-0.0048","0.0463","0.013"
"278","E9PK25_CFL1","E9PK25_CFL1","0.0512","-0.0181","6e-04","-0.0399"
"279","P13796_LCP1","P13796_LCP1","0.0411","-0.0503","0.0272","-0.0262"
"280","P10599_TXN","P10599_TXN","-0.0465","0.0501","0","4e-04"
"281","O00299_CLIC1","O00299_CLIC1","0.05","0","-0.0015","-0.0477"
"282","P04264_KRT1","P04264_KRT1","0.0361","0.0492","-0.0458","-0.0396"
"283","P01833_PIGR","P01833_PIGR","-0.049","0.0344","0","2e-04"
"284","P02788_LTF","P02788_LTF","0.0311","0.0434","-0.0289","-0.047"
"285","CON__P13645_KRT10","CON__P13645_KRT10","-0.0155","0.0084","-0.0336","0.0466"
"286","O75626_PRDM1","O75626_PRDM1","0.0464","0","-0.0259","-0.014"
"287","P24158_PRTN3","P24158_PRTN3","0.0311","-0.0423","0.046","-0.0442"
"288","REV__Q13085_4","REV__Q13085_4","-0.0389","0.0195","-0.0186","0.0449"
"289","P50395_GDI2","P50395_GDI2","0.0319","0","0","-0.0423"
"290","P08107_HSPA1A","P08107_HSPA1A","0.002","0","0.022","-0.0421"
"291","P37837_TALDO1","P37837_TALDO1","-0.0225","0","0.0416","-0.0122"
"292","P11021_HSPA5","P11021_HSPA5","0","0.0411","-0.0059","-0.0313"
"293","A0A075B6L0_IGLC3","A0A075B6L0_IGLC3","-0.0198","-0.0175","0.0409","0"
"294","A0A087WZW8","A0A087WZW8","-0.0175","-0.0191","0.0282","0.0083"
"295","P60174_TPI1","P60174_TPI1","-0.0085","0","0.0266","-4e-04"
"296","P01779","P01779","-0.0238","0.0152","0.0042","0"
"297","A0A087WX49_IGLL5","A0A087WX49_IGLL5","0","0","-0.0111","0"
